Shipment Index,Shipment Number,Sales Invoice,Logs
1,0540AW3JFK3,,
2,064E2FV7LGG,,
3,197341J8FQW,,
4,199F63MSLJJ,,
5,1A54W5VLBCC,,
6,37138V839J7,,
7,39453FFVZTL,,
8,42F3Y8SWGNG,,
9,5F92638ZBNT,,
10,729YE7TZVVX,,
11,813RR0KSC93,,
12,8956R9DJTLM,,
13,9Y3152DKNJP,,
14,A6D802DWZJN,,
15,B600R59Z3MY,,
16,B600R5B3L77,,
17,B600R5DRLQ9,,
18,EX1938TFYDM,,
19,F1G9749YNJX,,
20,G071784TDCQ,,
21,G3325W7CQW8,,
22,G3333D8LBFL,,
23,H6614084110,,
24,HR14674VW4W,,
25,R774V4P4LGP,,
26,W0608FN4CJ8,,
27,W074F38NTL4,,
28,X460H69GWL8,,
29,Y0210763941,,
