Shipment Index,Shipment Number,Sales Invoice,Logs
1,04WR37TLNYJ,,
2,05084WG4W3H,,
3,0R7V4179QS8,,
4,0W379FPK4WD,,
5,197341J9R3W,,
6,1F1362SY7FD,,
7,1R02Y9SWFSJ,,
8,1XX347TDV9Y,,
9,2R3F804NVBZ,,
10,3003R5NBBDW,,
11,392639LK3KY,,
12,392639LKQX7,,
13,392639LP9NN,,
14,4115A5NNYLP,,
15,43008ATLLZB,,
16,4F92F9JGY7W,,
17,4R927XK8CVR,,
18,5636W0DWHKQ,,
19,5X0693NJWTV,,
20,6559X4MBQWM,,
21,6E7021TY798,,
22,6R306V4R8QM,,
23,729YE7TFRQZ,,
24,743899H9F7D,,
25,74VW27K3PJX,,
26,76WW19Q4JV4,,
27,806YR4QK8Y3,,
28,8146R9SW9SN,,
29,825440MPQPL,,
30,8536YXKYXX4,,
31,8R0169BMNPL,,
32,8V64V49JDVN,,
33,A6D912C8JDH,,
34,A980Y8KDPJN,,
35,B60W37BTCPH,,
36,C2266878D8C,,
37,E365H57ZMWS,,
38,EC6868FX7NZ,,
39,F17981VHQSJ,,
40,F1G974CYRVB,,
41,F1G974FNZSR,,
42,G3333D4RKBJ,,
43,H6705411334,,
44,J46A01FXCJ8,,
45,K3564E9KRC7,,
46,KV2962F3LLN,,
47,R2329XJJXB9,,
48,V42687MBMFN,,
49,V430V83KT3T,,
50,V430V88RCKG,,
51,V430V8D9T33,,
52,V598F5TZZNJ,,
53,V740R5G7LYQ,,
54,W0608FNNSNH,,
55,W73W169BSHJ,,
56,W88266T8YH9,,
