Shipment Index,Shipment Number,Sales Invoice,Logs
1,01R54E9FDWL,,
2,02W93EVBL3G,,
3,04WR37TLNYJ,,
4,05084WG4W3H,,
5,069W5EBMXMS,,
6,08407VKRR3J,,
7,085A2037T9S,,
8,085A2037TDN,,
9,097261MGRVL,,
10,09792WRF9WK,,
11,09792WRFCLR,,
12,0EV643VSX44,,
13,0F43F88FK4S,,
14,0R7V4179QS8,,
15,0R7V4179RB7,,
16,0T05VF3WDDQ,,
17,0V02F8TNZYM,,
18,0W3213HZJ39,,
19,0W379FPK4WD,,
20,10A27RJX8XX,,
21,15WW89PXM7G,,
22,161773VPPV4,,
23,18647AV399V,,
24,197341J9R3W,,
25,1F1362SY7FD,,
26,1R02Y9SWFSJ,,
27,1V4628SVZQY,,
28,1V5424THNS9,,
29,1W2181TZQJJ,,
30,1XX347TDV9Y,,
31,20634ASTCHJ,,
32,20V6A0VNZVH,,
33,222V12VK4TJ,,
34,22461YLYVNZ,,
35,26W489VWRLM,,
36,27303WTVYGW,,
37,278AA6TYDKQ,,
38,290V58SZXJQ,,
39,2914VYKLCH4,,
40,29V1E4HC83W,,
41,29V1E4HCX9T,,
42,2A282YNKHK7,,
43,2A3R96SSQZZ,,
44,2R3F804NVBZ,,
45,2V6439JPS8H,,
46,2W44973G8NM,,
47,3003R5NBBDW,,
48,30XA71DHFW3,,
49,3136W7TRPRF,,
50,3136W7TS4MH,,
51,340399MVV7T,,
52,36754YPL3DR,,
53,392639LK3KY,,
54,392639LKQX7,,
55,392639LP9NN,,
56,3R0460V3Y8C,,
57,3W8227TKRVT,,
58,3XX090DJCMZ,,
59,3Y7Y48VDLPN,,
60,4023W6LDVFW,,
61,40612Y7CH8N,,
62,40612YB9RKQ,,
63,4115A5NNYLP,,
64,4170E0TXZKG,,
65,421E61TKMND,,
66,43008ATLLZB,,
67,432722GPZB3,,
68,4450327RB3Z,,
69,448W86SZG8B,,
70,44F2F2SRT7R,,
71,44RF508SPHR,,
72,4A91T9T7PWB,,
73,4F1645DKX9S,,
74,4F92F9JGY7W,,
75,4R927XK8CVR,,
76,4V2F91VMFMM,,
77,5392AVCK9QH,,
78,53RY6494YXL,,
79,5627V6GHWJD,,
80,5627V6GK4HR,,
81,5627V6GP3PN,,
82,5636W0DWHKQ,,
83,5636W0SZNFN,,
84,56864YGFYGW,,
85,58202ESZ4FZ,,
86,583752TYDGJ,,
87,585902MTDCZ,,
88,58776W4TC8N,,
89,596441H83WM,,
90,596441H8KDM,,
91,596441HHVYP,,
92,596441HK7FX,,
93,5VE719B83PD,,
94,5WV2563RBHC,,
95,5X0693NJWTV,,
96,604FA19PX9L,,
97,604FA1CWKPK,,
98,604FA1TCZBH,,
99,604FA1TDVBW,,
100,61A84FCXM33,,
101,62AV22CSRWC,,
102,6559X4MBQWM,,
103,662F45FTR9F,,
104,677311TTMMG,,
105,6E7021TY798,,
106,6R306V4R8QM,,
107,6R306V8P74P,,
108,6R306VBJNDW,,
109,6R306VBTLJM,,
110,6R306VD9WC8,,
111,7262A0TGNQG,,
112,729YE7TFRQZ,,
113,7336W3V788T,,
114,743899H9F7D,,
115,749390HZ7MV,,
116,74VW27K3PJX,,
117,750022KWPDQ,,
118,76WW19Q4JV4,,
119,787E77FT33B,,
120,78FY58T9NM3,,
121,78YF04GD4XZ,,
122,797757B7WKC,,
123,7E205VTZM3M,,
124,7Y037FTTDLK,,
125,7Y7F09JCNZH,,
126,805V43LBHKT,,
127,806YR4QK8Y3,,
128,81018WLRRKF,,
129,813RR0KRFSD,,
130,813RR0KRHLL,,
131,813RR0KRQ7F,,
132,813RR0KRVGH,,
133,813RR0KVBKH,,
134,813RR0KWLH4,,
135,813RR0KWSJ4,,
136,813RR0KWSXW,,
137,813RR0KWVGY,,
138,813RR0KXKCG,,
139,813RR0KXYTH,,
140,813RR0KYKWX,,
141,813RR0KYLWX,,
142,813RR0KYRF9,,
143,813RR0KZK3J,,
144,813RR0KZSG9,,
145,813RR0L379M,,
146,813RR0L3L4X,,
147,813RR0L3TWV,,
148,813RR0L4479,,
149,813RR0L9HWP,,
150,813RR0L9HXD,,
151,813RR0LB7RJ,,
152,813RR0LD4Q9,,
153,813RR0LFHV7,,
154,8146R9SW9SN,,
155,825440MPQPL,,
156,834RY8BYNGX,,
157,8536YXKYXX4,,
158,864235LNHZW,,
159,879916LQLPP,,
160,88F4R5P34V9,,
161,88F4R5P4SDZ,,
162,88F4R5PFNGF,,
163,88F4R5V4RWD,,
164,88F4R5VJNFW,,
165,88RE33SZ8DM,,
166,88X11ALLPWR,,
167,890E2A99RPT,,
168,89W4W2S3HLZ,,
169,8AT763TY3VL,,
170,8F0A96B79BR,,
171,8R0169BMNPL,,
172,8V2193TRKS4,,
173,8V2193V9C4K,,
174,8V64V49JDVN,,
175,9412V1TDSK7,,
176,94529VV43X3,,
177,94F16WVNCSW,,
178,94Y1Y79NPLQ,,
179,95W48WHNM7K,,
180,95W48WHQVHD,,
181,979Y3X9DZCN,,
182,9925A1VNNGQ,,
183,9FX4243PYD8,,
184,9Y612997JSZ,,
185,9Y6129JH7HS,,
186,A0838YTKTKP,,
187,A0838YVS48P,,
188,A1099EH7ZTN,,
189,A1099EH8KF3,,
190,A1R4264VYDQ,,
191,A28361C38GT,,
192,A3903VTQYKZ,,"
Already Present In Sales Invoice
Already Present In Sales Invoice
Already Present In Sales Invoice"
193,A4097YTQVJB,,
194,A4159TT87PJ,,
195,A4159TTDDMX,,
196,A4159TTFCBP,,
197,A4159TTHNRT,,
198,A4159TTSJJX,,
199,A4159TTYDJN,,
200,A6D82498WYX,,
201,A6D912C8JDH,,
202,A7K867GN7MW,,
203,A980Y8KDPJN,,
204,A9879WSYZPY,,
205,AE8740T3RWS,,
206,AE8740T9YMC,,
207,B60096BY7VC,,
208,B60096CL33T,,
209,B600R53XDFH,,
210,B600R599HNC,,
211,B60W37BTCPH,,
212,B687673BYDT,,
213,B6876749V9Y,,
214,B870E23BY9M,,
215,C2266878D8C,,
216,C6H963GS3SM,,
217,E07668T93K9,,
218,E19557DSGBK,,
219,E2100WTGQRL,,
220,E23F43VB4VZ,,
221,E365H57ZMWS,,
222,E37G44PWYVF,,
223,E4606WVBJCC,,
224,E46755TCBL7,,
225,E4R019GYKPT,,
226,E6X818TJ7S7,,
227,E9561ETDFT8,,
228,EC67013VKZR,,
229,EC670177C7X,,
230,EC67017JTBL,,
231,EC67017PQJK,,
232,EC6701D4WBY,,
233,EC6868FX7NZ,,
234,EV2216JZHWX,,
235,EX6207VG4JC,,
236,F17981VHQSJ,,
237,F1G9744MY4N,,
238,F1G9744NJZY,,
239,F1G9748C7LL,,
240,F1G974CYRVB,,
241,F1G974FNZSR,,
242,F835A08YTV7,,
243,F835A0DVKGR,,
244,F8Y178TZZKL,,
245,FJ9115738RV,,
246,G3325W9LKPT,,
247,G3325WDLMPC,,
248,G3333D4RKBJ,,
249,G3333D7MWNJ,,
250,G3333DBNVQP,,
251,G3333DFPPJS,,
252,G334119PLKL,,
253,G33427DLDFP,,
254,G7941G4LHC7,,
255,H6614331076,,
256,H6705411334,,
257,H6705569791,,
258,J1328G8M48T,,
259,J46A01FXCJ8,,
260,J7215CBS3MY,,
261,K0F167FSXNJ,,
262,K0F167G7RFH,,
263,K3518F49FF8,,
264,K3564E9KRC7,,
265,K584X43VSH8,,
266,KV29629JPBW,,
267,KV2962F3LLN,,
268,M2539137021,,
269,R069C94M7J9,,
270,R2329XJJXB9,,
271,R5W801FMYVH,,
272,R685R8SWTNV,,
273,R685R8T8S9R,,
274,R685R8TPGR4,,
275,R685R8TQ7F7,,
276,R685R8TYYCJ,,
277,R685R8VF8M3,,
278,R685R8VWLLC,,
279,R6R800VHW9X,,
280,T68PU59HGCR,,
281,T720JU9LCLP,,
282,V01321TSR7S,,
283,V2017VV8PCS,,
284,V42687MBMFN,,
285,V430V83KT3T,,
286,V430V88RCKG,,
287,V430V8D9T33,,
288,V430V8MLKRT,,
289,V57Y73VWBKZ,,
290,V598F5T83VY,,
291,V598F5TZZNJ,,
292,V740R5G7LYQ,,
293,V89E90KZKDZ,,
294,VR63368WP7P,,
295,W0608FNNSNH,,
296,W15013VQVSD,,
297,W19R70TTHLB,,
298,W2F890TGW3T,,
299,W2F890VVQLY,,
300,W70115PQC8T,,
301,W73W168LXDK,,
302,W73W169BSHJ,,
303,W809V0FDRFL,,
304,W81W269MYXN,,
305,W82766VCBP4,,
306,W88266T8YH9,,
307,WA0761FRVJP,,
308,WF8493T34Q4,,
309,WF8493VR7PM,,
310,X2W329TG9NV,,
311,X2W329TMGZG,,
312,X320F4CKKD4,,
313,X320F4CKM3Q,,
314,X3W337RYTZ3,,
315,X474A7H9QDP,,
316,X58011DQSBW,,
317,X58011DQSCK,,
318,X58011DQSRV,,
319,Y0210763950,,
