Shipment Index,Shipment Number,Sales Invoice,Logs
1,F1G9143NMQ7,ACC-SINV-2026-00224,
2,F1G914CBB3L,ACC-SINV-2026-00226,
3,F1G914DCTH3,ACC-SINV-2026-00227,
4,K0F0933FJXX,ACC-SINV-2026-00228,
5,K0F0933KK7F,ACC-SINV-2026-00229,
6,K0F0933WMXP,ACC-SINV-2026-00230,
7,K0F0934Y9FM,ACC-SINV-2026-00231,
8,K0F0937NQSS,ACC-SINV-2026-00232,
9,K0F0937S4MK,ACC-SINV-2026-00233,
10,K0F09389CRS,ACC-SINV-2026-00234,
11,K0F0938CGPB,ACC-SINV-2026-00235,
12,K0F0938DSGT,ACC-SINV-2026-00236,
13,K0F0938ZK4V,ACC-SINV-2026-00237,
14,K0F0939DFNS,ACC-SINV-2026-00238,
15,K0F0939TYZ7,ACC-SINV-2026-00239,
16,K0F0939VSPN,ACC-SINV-2026-00240,
17,K0F093C7JZ9,ACC-SINV-2026-00243,
18,K0F093CT88C,ACC-SINV-2026-00246,
19,K0F093CWDYC,ACC-SINV-2026-00247,
20,K0F093DCFD3,ACC-SINV-2026-00248,
21,K0F093DDGPN,ACC-SINV-2026-00249,
22,K0F093DHBMR,ACC-SINV-2026-00250,
23,K0F1893XDZZ,ACC-SINV-2026-00251,
24,K0F18943GTM,ACC-SINV-2026-00252,
25,K0F1897LTHP,ACC-SINV-2026-00253,
26,K0F189844VJ,ACC-SINV-2026-00254,
27,K0F569BLJXC,ACC-SINV-2026-00359,Sales Invoice created successfully.
28,K0F569BMKZM,ACC-SINV-2026-00360,Sales Invoice created successfully.
29,K0F569BNPXR,ACC-SINV-2026-00361,Sales Invoice created successfully.
30,K0F569BQ8XN,ACC-SINV-2026-00362,Sales Invoice created successfully.
