Shipment Index,Shipment Number,Sales Invoice,Logs
1,88F4R5FT3QD,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
2,88F4R5FV8CK,,Already Present In Sales Invocie
3,88F4R5FVD4G,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
4,88F4R5FWGPX,,
5,88F4R5FZZ9W,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
6,88F4R5G3JRB,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
7,88F4R5G4BL9,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
8,88F4R5G79LQ,,Already Present In Sales Invocie
9,88F4R5G9L8R,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
10,88F4R5GFXPT,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
11,88F4R5GGBGP,,Already Present In Sales Invocie
12,88F4R5H7BVD,,Already Present In Sales Invocie
13,88F4R5H7V9P,,Already Present In Sales Invocie
14,88F4R5H8RX3,,Already Present In Sales Invocie
15,88F4R5H9LRS,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
16,88F4R5H9VZF,,Already Present In Sales Invocie
17,88F4R5HC99K,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
18,88F4R5HDHDV,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
19,88F4R5HFVGZ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
20,88F4R5HKJXN,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
21,88F4R5HNNQB,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
22,88F4R5HPC99,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
23,88F4R5HPLZQ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
24,88F4R5K4LNB,,Already Present In Sales Invocie
25,88F4R5K783X,,
26,88F4R5K9HND,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
27,88F4R5KB74Q,,Already Present In Sales Invocie
28,88F4R5KCZZ4,,
29,88F4R5KHPF4,,
30,88F4R5KHRRC,,
31,88F4R5KHVX3,,Already Present In Sales Invocie
32,88F4R5KJPSH,,Already Present In Sales Invocie
33,88F4R5KJPY9,,Already Present In Sales Invocie
34,88F4R5KJSWM,,
35,88F4R5KLPC9,,
36,88F4R5KLRG8,,Already Present In Sales Invocie
37,88F4R5KPVMW,,Already Present In Sales Invocie
38,88F4R5KQ7BX,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
39,88F4R5KQMPT,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
40,88F4R5PC8KX,,Already Present In Sales Invocie
41,88F4R5PG488,,Already Present In Sales Invocie
42,88F4R5PGKDW,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
43,88F4R5TGLGY,,Already Present In Sales Invocie
44,X3400738FPG,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
45,X3400738TTM,,Already Present In Sales Invocie
46,X340073B4VM,,Already Present In Sales Invocie
47,X340073CN4R,,Already Present In Sales Invocie
48,X340073FLQD,,Already Present In Sales Invocie
49,X340073LPFV,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
50,X340073PZB3,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
51,X340073RTR8,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
52,X340073RTYY,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
53,X340073SH8B,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
54,X34007438K4,,
55,X3400749PHM,,
56,X340074C9KV,,
57,X340074CSCC,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
58,X340074F4J9,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
59,X340074F4VK,,Already Present In Sales Invocie
60,X340074NMZR,,
61,X340074P7FW,,
62,X340074SCJR,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
63,X340074SNCD,,Already Present In Sales Invocie
64,X340074V4N8,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
65,X340074X9B3,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
66,X340074ZYYZ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
67,X340077FGD3,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
68,X340077MM7W,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
69,X340077TY9D,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
70,X3400787XYT,,Already Present In Sales Invocie
71,X3400789CMK,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
72,X340078DZWK,,Already Present In Sales Invocie
73,X340078F3FJ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
74,X340078W4BZ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
75,X340078X87V,,Already Present In Sales Invocie
76,X340078YYX4,,
77,X3400799XMS,,Already Present In Sales Invocie
78,X340079BXKV,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
79,X340079CG3P,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
80,X34007JGYH9,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
81,X34007JGYHK,,
82,X34007JH8GK,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
83,X34007JHDRD,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
84,X34007JJXLW,,
85,X34007JNM4G,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
86,X34007JQVQV,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
87,X34007JRFVJ,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
88,X34007JSPKH,,
89,X34007JTC4P,,Already Present In Sales Invocie
90,X34007JTXN8,,
91,X34007JW444,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
92,X34007JX4FJ,,
93,X34007JXGRY,,Already Present In Sales Invocie
94,X34007JXLDT,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
95,X34007JYNQW,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
96,X34007JZYBJ,,Already Present In Sales Invocie
97,X34007K3PBY,,Already Present In Sales Invocie
98,X34007LGQ9H,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
99,X34007LGSGL,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
100,X34007LHQBN,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
101,X34007LHVQ3,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
102,X34007LHYGW,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
103,X34007LJM3P,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
104,X34007LJMWY,,Already Present In Sales Invocie
105,X34007LJR3W,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
106,X34007LJV8V,,
107,X34007LKH7V,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
108,X34007LKMQV,,
109,X34007LKPDL,,
110,X34007LLKZH,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
111,X34007LLQHN,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
112,X34007LMN3N,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
113,X34007LNQQS,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
114,X34007LNTMB,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
115,X34007LNXNV,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
116,X34007LP8SK,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
117,X34007LQ9XK,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
118,X34007LQPY9,,
119,X34007LRCY8,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
120,X34007LRQVP,,
121,X34007LRTN7,,
122,X34007LRXN4,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
123,X34007LRZZP,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
124,X34007LT4JS,,No Selling Rate Found Thats why using Default Selling Rate; Already Present In Sales Invocie
